station_id,year,met2005_emis2050_MFR_DEP_SOX_mgpm2,met2005_emis2050_MFR_DEP_TOTN_mgpm2,met2015_emis2015_Baseline_DEP_SOX_mgpm2,met2015_emis2015_Baseline_DEP_TOTN_mgpm2,met2015_emis2050_Diet_DEP_SOX_mgpm2,met2015_emis2050_Diet_DEP_TOTN_mgpm2,met2015_emis2050_MFR_DEP_SOX_mgpm2,met2015_emis2050_MFR_DEP_TOTN_mgpm2,met2005_emis2005_Baseline_DEP_SOX_mgpm2,met2005_emis2005_Baseline_DEP_TOTN_mgpm2,met2005_emis2030_Baseline_DEP_SOX_mgpm2,met2005_emis2030_Baseline_DEP_TOTN_mgpm2,met2005_emis2050_Diet_DEP_SOX_mgpm2,met2005_emis2050_Diet_DEP_TOTN_mgpm2,met2005_emis2030_MFR_DEP_SOX_mgpm2,met2005_emis2030_MFR_DEP_TOTN_mgpm2,met2015_emis2030_MFR_DEP_SOX_mgpm2,met2015_emis2030_MFR_DEP_TOTN_mgpm2,met2005_emis2050_Baseline_DEP_SOX_mgpm2,met2005_emis2050_Baseline_DEP_TOTN_mgpm2,met2015_emis2030_Baseline_DEP_SOX_mgpm2,met2015_emis2030_Baseline_DEP_TOTN_mgpm2,met2015_emis2050_Baseline_DEP_SOX_mgpm2,met2015_emis2050_Baseline_DEP_TOTN_mgpm2
38205,2050,84.26947,540.9707,,,64.85896,359.10123,64.12344,507.25702,,,,,84.69529,392.3501,,,,,112.444,764.8445,,,84.42728,721.6668
38206,2050,75.60715,468.99936,,,59.408577,322.97415,58.48809,454.60016,,,,,76.182274,341.59393,,,,,98.47249,660.57196,,,76.11695,645.1493
38207,2050,93.78923,579.095,,,67.24588,383.9826,67.20204,538.3518,,,,,93.544235,422.53946,,,,,135.15439,823.26544,,,98.05834,768.60944
38208,2050,148.30777,698.707,,,124.504395,481.09192,125.908646,651.3812,,,,,146.2993,520.7649,,,,,203.82639,985.25934,,,173.76854,917.92316
38209,2050,54.214596,239.1879,,,49.921017,175.41098,51.494156,224.14339,,,,,52.713154,191.53256,,,,,115.5276,354.32587,,,100.53506,338.01367
38210,2050,32.933506,85.06161,,,37.33003,53.064358,37.073452,60.39501,,,,,33.187874,74.2486,,,,,44.835785,114.81507,,,49.615154,84.68999
38211,2050,32.8332,84.75261,,,37.55684,53.368248,37.32036,60.650806,,,,,33.051765,74.15931,,,,,44.42938,114.16104,,,49.908176,84.95915
38212,2050,61.277023,254.22972,,,62.802322,210.5279,64.64626,262.61932,,,,,59.4682,206.01038,,,,,103.06951,358.49097,,,95.95476,366.61804
38213,2050,39.445732,143.39444,,,41.704517,107.14784,41.65682,131.6479,,,,,38.95703,118.15362,,,,,75.35983,209.01219,,,82.66606,199.12149
38214,2050,52.234417,196.59045,,,50.036217,147.24953,51.241234,181.65189,,,,,50.6397,161.63274,,,,,103.451805,280.27292,,,87.6342,258.83234
38242,2050,49.914104,172.9658,,,51.948467,137.47157,46.869728,165.3454,,,,,54.181244,142.64008,,,,,58.649986,239.40149,,,60.790535,235.9582
38312,2050,108.25764,345.9835,,,108.380615,267.07428,100.56958,347.2953,,,,,117.18393,263.98218,,,,,121.60422,473.9828,,,127.28201,484.39148
38314,2050,62.216557,219.94113,,,58.9959,165.56165,53.89834,212.70534,,,,,67.29887,173.7397,,,,,71.52018,300.93365,,,69.54456,298.20816
38315,2050,79.66662,101.62032,,,121.57096,65.01841,120.28838,76.77643,,,,,81.45259,86.92934,,,,,81.49979,145.80362,,,121.22211,114.898994
38316,2050,47.060215,53.65967,,,41.314087,32.467667,41.928318,36.870953,,,,,46.611427,47.858456,,,,,61.5721,80.57277,,,54.808002,60.161053
38319,2050,80.084724,333.45087,,,79.13524,287.05908,81.055305,366.59717,,,,,78.6049,270.82,,,,,117.65562,456.46222,,,118.856285,507.75613
38352,2050,82.94473,428.55582,,,80.450035,298.04846,80.6849,399.0644,,,,,83.63327,317.752,,,,,99.8933,586.70355,,,99.64383,546.98456
38364,2050,94.29517,467.0274,,,90.59761,334.0408,92.04953,444.3758,,,,,94.38647,351.62433,,,,,114.257126,636.7143,,,113.79826,606.0014
38391,2050,46.15929,155.73819,,,33.796646,105.29535,32.59837,130.89319,,,,,47.346947,128.16412,,,,,60.056892,210.86346,,,41.47541,180.55801
38394,2050,53.683502,271.39706,,,49.03045,215.98718,49.18573,285.25226,,,,,53.815945,209.72792,,,,,74.26861,371.16263,,,65.67459,393.04535
38402,2050,39.61346,103.00039,,,30.021137,75.09499,28.876434,87.98872,,,,,40.888485,89.565094,,,,,47.030704,134.93495,,,34.671745,117.39194
38418,2050,148.9619,552.2831,,,130.92564,397.44724,132.29439,578.33386,,,,,147.45554,386.2658,,,,,169.7693,752.7581,,,154.44856,782.1835
38422,2050,135.49982,424.51767,,,119.08594,295.92224,120.426155,432.23962,,,,,133.78261,297.10986,,,,,150.10477,579.46594,,,135.18686,587.6176
38428,2050,104.3305,615.74554,,,86.84871,370.95282,87.60283,560.4514,,,,,103.98932,411.23285,,,,,121.61424,832.97577,,,103.49797,759.60333
38432,2050,191.5314,168.6435,,,160.50385,115.78973,162.10425,144.62288,,,,,189.39293,139.75102,,,,,197.10004,214.06488,,,167.64217,189.40012
38434,2050,69.32198,240.5259,,,60.619316,186.29597,60.930283,257.28732,,,,,68.78489,175.85364,,,,,77.58635,326.42056,,,70.6033,351.9254
