station_id,year,EMEP_Standard_DEP_SOX_mgpm2,EMEP_Standard_DEP_TOTN_mgpm2
38316,2002,299.87726,95.57001
38319,2002,976.09076,871.5859
38352,2002,495.47397,1113.3751
38364,2002,565.03973,1226.1251
38391,2002,170.04437,376.14307
38394,2002,413.6365,930.561
38402,2002,119.31407,261.5845
38418,2002,1068.6598,1425.7996
38422,2002,584.20276,1083.2094
38428,2002,717.149,1451.9077
38432,2002,327.8175,435.14853
38434,2002,817.6122,1164.7925
38437,2002,666.4914,1324.2329
23505,2003,673.91815,1876.2404
23506,2003,628.42126,1946.2839
23507,2003,715.90015,1846.1863
23509,2003,528.37683,1648.9816
23510,2003,608.8745,1818.3628
23511,2003,737.6738,1891.8414
23512,2003,492.46143,1450.3396
23514,2003,492.46143,1450.3396
23522,2003,562.1856,1719.8806
23525,2003,764.61365,1785.4148
23527,2003,492.46143,1450.3396
23528,2003,743.1892,1784.4497
23530,2003,669.22107,1953.8514
23531,2003,492.46143,1450.3396
23532,2003,592.75323,1779.9736
23533,2003,592.75323,1779.9736
23534,2003,844.59894,1560.2526
23536,2003,774.35156,1996.5603
23537,2003,562.1856,1719.8806
23562,2003,440.63953,1567.0062
23563,2003,751.2024,2732.6877
23564,2003,440.63953,1567.0062
23565,2003,812.5516,3045.7195
23566,2003,821.86273,2941.1663
23567,2003,837.3463,3120.01
23597,2003,232.37187,434.27454
23598,2003,338.30377,826.4491
23603,2003,358.45264,941.54987
38201,2003,568.5234,1657.1887
38202,2003,546.8109,1559.2991
38203,2003,506.54767,1577.2571
38204,2003,499.37915,1409.0449
38205,2003,511.72217,1445.562
38206,2003,489.87708,1400.7722
38207,2003,678.63245,1633.3148
38208,2003,1133.481,1716.3572
38209,2003,406.3786,633.3654
38210,2003,121.16901,175.4036
38211,2003,120.13119,174.98828
38212,2003,463.1903,855.6613
38213,2003,239.79526,347.25177
38214,2003,337.2068,554.42755
38242,2003,186.5704,413.14645
38312,2003,554.8781,1212.9133
38314,2003,334.3331,700.1508
38315,2003,103.66349,184.40897
38316,2003,305.34433,119.18413
38319,2003,1094.9285,1005.1605
38352,2003,452.84967,1167.853
38364,2003,502.94,1302.7345
