station_id,station_code,station_name,year,depth1,depth2,Cl_µekv/l,Ca_µekv/l,Ca*_µekv/l,Mg_µekv/l,Mg*_µekv/l,Na_µekv/l,Na*_µekv/l,K_µekv/l,K*_µekv/l,SO4_µekv/l,SO4*_µekv/l,NO3-N_µekv/l,NH4-N_µekv/l,ANC_µekv/l
38364,Tr18_SE_1948,Härsvatten,2014,0.0,0.0,234.25,19.75,11.08275,47.5,1.5870000000000015,224.74775152240107,23.52700152240107,9.724577173913044,5.508077173913044,54.715802623360396,30.5880526233604,7.155603140613847,4.764453961456103,10.365376893795998
38364,Tr18_SE_1948,Härsvatten,2015,0.0,0.0,271.25,22.75,12.713750000000001,53.0,-0.1649999999999956,246.74753142670727,13.743781426707287,10.224555434782609,5.34205543478261,60.212367270455964,32.273617270455965,5.085653104925054,3.1763026409707353,-0.6496308729203739
38364,Tr18_SE_1948,Härsvatten,2016,0.0,0.0,305.0,23.666666666666668,12.381666666666668,56.666666666666664,-3.1133333333333346,269.99729882557637,8.00229882557637,9.799573913043478,4.3095739130434785,54.632521340828646,23.217521340828654,5.234356412086605,2.7599333809183917,-1.9767383000437206
38364,Tr18_SE_1948,Härsvatten,2017,0.0,0.0,12500.0,542.5,79.99999999999997,770.0,-1680.0,6924.930719878208,-3812.569280121792,407.48228260869564,182.4822826086957,2698.313554028732,1410.813554028732,5.781584582441114,3.1941470378301213,-6555.987989086439
38364,Tr18_SE_1948,Härsvatten,2018,0.0,0.0,11750.0,490.0,55.249999999999986,705.0,-1598.0,6899.930969986952,-3193.3190300130486,397.48271739130433,185.9827173913044,2748.2823235477827,1538.0323235477827,5.067808708065668,3.5688793718772307,-6007.367565505715
38364,Tr18_SE_1948,Härsvatten,2019,0.0,0.0,11250.0,492.5,76.25,680.0,-1525.0,6599.933971291866,-3063.8160287081337,404.98239130434786,202.48239130434789,2773.266708307308,1614.516708307308,5.781584582441114,3.5688793718772303,-5848.063050921657
38391,Tr18_SE_132,Stensjön,2000,0.0,0.0,22.375,66.625,65.797125,33.625,29.2395,55.37444600913441,36.15432100913441,7.374679347826087,6.971929347826086,43.34790755777639,41.04328255777639,1.5970735189150607,0.92790863668808,96.60705291695712
38391,Tr18_SE_132,Stensjön,2001,0.0,0.0,19.625,61.875,61.148875,30.625,26.7785,49.99949978251414,33.14162478251414,6.499717391304348,6.1464673913043475,39.60024984384759,37.57887484384759,2.78372591006424,2.08779443254818,89.07803585245483
38391,Tr18_SE_132,Stensjön,2002,0.0,0.0,18.5,60.75,60.0655,28.625,24.999,49.874501033057854,33.98300103305786,6.249728260869565,5.916728260869565,36.97688944409744,35.071389444097434,1.3294075660242686,1.1331192005710207,89.82605148437673
38391,Tr18_SE_132,Stensjön,2003,0.0,0.0,19.625,67.375,66.648875,31.25,27.4035,56.87443100260983,40.01655600260983,6.999695652173912,6.646445652173913,38.85071830106183,36.82934330106183,1.0974304068522485,2.078872234118487,105.00485018098814
38391,Tr18_SE_132,Stensjön,2004,0.0,0.0,20.375,62.375,61.621125,29.75,25.756500000000003,55.62444350804698,38.12231850804698,6.624711956521739,6.257961956521739,37.7264209868832,35.6277959868832,0.820842255531763,1.1241970021413277,96.57608922429509
38391,Tr18_SE_132,Stensjön,2005,0.0,0.0,20.5,60.0,59.241499999999995,29.75,25.732000000000003,56.37443600478469,38.764936004784694,6.624711956521739,6.255711956521738,34.35352904434728,32.242029044347284,1.1955745895788723,1.4275517487508922,98.12759607613117
38391,Tr18_SE_132,Stensjön,2006,0.0,0.0,20.0,62.55555555555556,61.81555555555556,29.22222222222222,25.302222222222223,53.999459765115276,36.819459765115276,7.221908212560385,6.861908212560386,31.868970782150047,29.808970782150045,2.323737013244508,1.7665952890792291,104.22576979889553
38391,Tr18_SE_132,Stensjön,2007,0.0,0.0,21.25,64.625,63.83875,29.75,25.585,52.99946976946499,34.74571976946499,7.249684782608695,6.867184782608695,31.855090568394754,29.66634056839475,0.7940756602426838,0.6780870806566739,101.40307540409292
38391,Tr18_SE_132,Stensjön,2008,0.0,0.0,21.0,69.25,68.473,31.625,27.509,54.74945226185299,36.710452261852986,6.874701086956521,6.496701086956521,33.47907557776389,31.316075577763897,2.08779443254818,1.4097073518915062,107.34199069038894
38391,Tr18_SE_132,Stensjön,2009,0.0,0.0,21.125,69.25,68.46837500000001,34.625,30.4845,54.49945476294042,36.35307976294041,6.624711956521739,6.2444619565217385,30.855715178013742,28.67984017801374,1.3561741613133476,0.8029978586723769,112.46527523880744
38391,Tr18_SE_132,Stensjön,2010,0.0,0.0,21.125,64.875,64.09337500000001,30.5,26.3595,52.499474771639846,34.35309977163985,6.624711956521739,6.2444619565217385,31.105559025608994,28.929684025608996,1.4453961456102784,1.0349750178443968,101.8582065747867
38391,Tr18_SE_132,Stensjön,2011,0.0,0.0,20.375000000000004,66.875,66.12112499999999,32.25,28.2565,53.24946726837756,35.74734226837756,7.249684782608695,6.882934782608695,29.356652092442225,27.258027092442223,1.2401855817273377,0.6780870806566739,109.33040145747334
38391,Tr18_SE_132,Stensjön,2012,0.0,0.0,21.25,69.25,68.46375,34.125,29.959999999999997,55.37444600913441,37.12069600913441,7.374679347826087,6.992179347826086,29.356652092442225,27.167902092442226,1.168807994289793,0.4996431120628123,114.84830838229128
38391,Tr18_SE_132,Stensjön,2013,0.0,0.0,20.125,64.0,63.255375,32.5,28.5555,54.87445101130927,37.58707601130927,7.737163586956521,7.374913586956521,30.231105559025607,28.15823055902561,1.1063526052819415,0.6691648822269808,108.3183213161852
38391,Tr18_SE_132,Stensjön,2014,0.0,0.0,20.875000000000004,67.5,66.727625,32.625,28.5335,56.99942975206612,39.067804752066124,7.824659782608696,7.448909782608696,30.730793254216117,28.580668254216114,0.6156316916488223,0.7226980728051392,113.45036266161503
38391,Tr18_SE_132,Stensjön,2015,0.0,0.0,20.875,66.375,65.602625,31.625,27.533500000000004,50.11060978203084,38.442811004784694,7.587170108695652,7.211420108695652,30.106183635227982,27.956058635227983,0.6899833452295979,0.8010151479102229,111.0518000656899
38391,Tr18_SE_132,Stensjön,2016,0.0,0.0,20.35,66.875,66.12205,30.75,26.761400000000002,51.443929776231215,40.393770998260116,7.04969347826087,6.68339347826087,29.356652092442225,27.260602092442227,0.8089459909588389,0.5313664842572766,112.80677359036
38391,Tr18_SE_132,Stensjön,2017,0.0,0.0,718.75,1350.0000000000002,1323.40625,386.25,245.37500000000003,1337.4866191822532,720.0803691822532,267.4883695652174,254.5508695652174,1411.6177389131792,1337.5864889131792,0.92790863668808,0.4907209136331192,1210.4200621112366
38391,Tr18_SE_132,Stensjön,2018,0.0,0.0,682.8571428571429,1287.5,1260.4485714285713,363.75,227.58857142857144,1262.487369508482,670.555994531784,271.23820652173913,259.12534161490686,1342.0183813687872,1271.6840956545016,0.4371877230549608,0.7316202712348323,1151.0998936990825
