station_id,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2
23719,1712.6581,1423.492,1452.8938,1529.6758,1535.6155,1147.4752,1865.403,1065.4794,1315.7068,1471.9655,1628.224,1586.967,1596.37,1582.241,1406.212,1237.433,1220.24,1230.661,1190.334,944.47955,960.78625,1202.8981,969.1444,934.8307,984.8692,967.96704,952.35767
23720,1385.5262,1260.9525,1199.2854,1319.1864,1337.7172,1142.2858,1500.448,1207.6975,1441.6533,1746.3127,2050.972,1713.3961,1660.9131,1705.6111,1497.544,1306.141,1277.6321,1512.885,1373.2311,977.8571,1050.688,1233.022,1282.558,1112.858,1010.989,984.61053,951.41144
23721,1644.0383,1328.045,1422.9714,1422.7316,1533.8834,1160.452,1658.09,1149.706,1197.1158,1374.9884,1552.8611,1455.688,1489.89,1546.2771,1390.487,1170.452,1223.257,1203.678,1127.763,895.0672,871.8932,1076.481,961.3395,903.6313,978.7006,936.7796,877.0996
23722,1601.8887,1316.254,1392.0685,1419.0574,1514.2336,1132.8153,1663.8387,1104.3551,1129.6747,1302.9858,1476.297,1373.81,1426.54,1459.976,1326.208,1123.0,1148.247,1149.7361,1078.822,858.9918,854.65967,1063.692,930.04114,866.6285,950.60016,926.4491,850.6527
23723,1501.707,1289.2048,1224.8003,1350.3091,1383.3168,1174.8557,1716.4768,1292.5433,1411.7715,1573.7112,1735.651,1545.047,1578.337,1635.8721,1440.738,1232.03,1280.994,1410.0859,1298.269,950.32367,1057.7561,1231.3579,1265.472,1045.464,1106.105,1032.026,993.18085
23726,1082.7864,938.93506,793.42645,1009.5815,1071.7358,886.7526,887.63354,1140.8986,1127.371,1015.47394,903.577,853.616,981.031,818.83795,790.6487,720.4821,680.5788,807.39716,723.491,614.8446,609.5263,704.026,628.0397,687.9519,642.7534,682.8723,615.0803
23728,1792.7498,1881.1134,1703.0315,1496.6616,1820.9575,1923.7804,1919.4285,1593.4441,1534.806,1462.0441,1389.282,1184.21,1427.994,1210.12,1180.461,1010.833,1012.844,1083.788,985.7924,770.4414,737.28516,856.41534,762.4925,859.5667,757.87256,764.773,752.0323
23729,1509.3722,1496.543,1458.3359,1348.0253,1531.9525,1431.8474,1486.6637,1418.2728,1466.3146,1586.1433,1705.9719,1492.4929,1682.662,1421.7479,1354.897,1184.489,1253.0651,1254.49,1170.1279,904.39685,865.4884,1073.228,884.11505,888.89087,837.4993,803.7664,824.9129
23733,1082.0515,940.35,776.9554,902.4887,1007.3902,843.4452,867.05444,1056.6617,998.89795,940.55994,882.2221,832.6611,866.04175,770.6749,708.9415,733.8444,698.8821,795.11383,726.8452,630.9538,635.0707,750.42865,716.4519,754.3199,686.20447,799.6347,712.2937
37047,1585.9874,1716.8796,1541.4281,1313.8202,1592.433,1737.1897,1705.9614,1426.2498,1437.8346,1401.2052,1364.5759,1159.2631,1409.2471,1185.065,1163.205,988.1205,994.842,1049.431,955.49725,756.1664,725.8493,827.1782,745.6923,851.2416,747.7403,746.7514,746.9126
37765,1494.7069,1304.1472,1177.925,1162.92,1179.0181,1101.2463,1279.3616,1224.7473,1132.9187,1253.1633,1373.4081,1251.113,1393.073,1333.251,866.74854,858.0498,758.4771,850.5614,764.51886,683.3361,558.2848,755.5734,661.5462,759.7194,689.3666,691.3147,720.4577
38441,1036.4443,866.08527,706.89484,905.9846,859.52484,807.95013,828.2935,818.11145,1037.1816,989.11255,941.04346,863.2908,972.3365,809.31165,714.369,646.579,568.601,671.61395,595.6288,485.18692,472.6187,681.6051,605.8505,633.3912,656.0871,627.146,680.7576
38442,1047.1395,865.7766,771.9464,921.1831,983.30536,863.5754,841.34094,838.1008,928.3641,920.3405,912.3169,864.12933,988.6829,826.81067,712.66187,640.9427,604.19324,710.11774,652.5207,514.9753,476.191,664.1831,580.5075,636.4053,635.4914,626.3692,650.3938
38443,1020.56665,827.7812,723.527,894.75995,903.2842,821.60767,829.2497,819.6436,964.77496,937.8313,910.8875,856.8773,986.0029,813.8323,709.0894,636.5326,602.052,710.1099,644.18494,505.8227,474.66577,662.4759,580.3082,626.4585,645.1914,625.1518,664.2513
38444,1020.56665,827.7812,723.527,894.75995,903.2842,821.60767,829.2497,819.6436,964.77496,937.8313,910.8875,856.8773,986.0029,813.8323,709.0894,636.5326,602.052,710.1099,644.18494,505.8227,474.66577,662.4759,580.3082,626.4585,645.1914,625.1518,664.2513
38445,1009.33887,859.0717,680.26624,863.33496,880.38025,755.11273,870.7447,814.04095,971.19855,1202.4529,1433.707,1404.7631,1318.118,1054.856,979.0282,819.1004,754.3346,866.7804,815.93005,667.8854,582.3593,818.08826,729.9122,752.0567,719.0938,719.3437,686.6469
38446,1049.6517,842.4384,772.13556,963.4225,847.5955,887.3727,884.8179,839.6115,944.1686,1045.4727,1146.777,1088.821,1190.0851,1084.093,926.3511,854.916,786.32513,843.86597,819.3461,641.9544,640.2249,687.1969,614.3399,702.5937,675.8564,630.60095,673.6259
38447,1305.8677,1211.5203,1070.0112,1115.5062,1116.2992,1079.6816,1156.9595,1068.7681,1182.8167,1254.3604,1325.9039,1275.694,1273.833,1127.0911,895.67926,827.3799,744.2009,805.55896,780.6345,701.3956,560.14154,790.6073,679.56946,797.4504,748.3385,710.7691,768.6583
38448,1257.0107,1160.3016,1014.7054,1076.3875,1093.3583,1023.0053,1089.9442,1028.7744,1145.8077,1161.4683,1177.129,1139.497,1134.008,1004.97705,818.9968,770.0744,690.5541,760.2396,729.4174,655.5378,524.1298,765.3087,654.47205,761.4985,721.2441,684.6463,731.2366
38449,1297.4043,1173.6844,1038.4899,1085.1243,1118.0778,1016.2703,1100.1805,1040.5267,1159.054,1222.239,1285.4241,1248.329,1244.693,1092.749,881.1398,789.5454,725.095,796.6611,746.6187,677.5171,538.13245,795.8827,707.96783,767.0226,734.9466,720.5404,754.7274
38450,1570.0867,1369.2424,1231.0428,1230.0205,1307.0764,1176.7439,1332.7227,1218.4457,1243.646,1274.9465,1306.2471,1227.917,1317.765,1221.0399,849.548,788.5075,734.588,801.1797,742.1309,682.7845,536.0034,774.911,669.3381,746.4483,698.16864,665.6941,764.227
38451,1538.78,1340.2937,1221.663,1219.3864,1294.363,1167.5558,1313.6019,1197.0983,1231.4993,1274.1511,1316.803,1249.154,1315.024,1204.125,856.9261,784.7083,727.618,799.2232,734.5668,684.1166,528.725,776.8901,677.0771,750.31726,710.2556,676.17377,772.0755
38452,1553.134,1353.2065,1232.952,1227.659,1301.7068,1177.4344,1325.6921,1208.801,1240.6083,1278.7056,1316.803,1249.154,1315.024,1204.125,856.9261,784.7083,727.618,799.2232,734.5668,684.1166,528.725,776.8901,677.0771,750.31726,710.2556,676.17377,772.0755
