station_id,year,totn_mgNpm2
38446,1995,887.3727
38446,1996,884.8179
38446,1997,839.6115
38446,1998,944.1686
38446,1999,708.91486
38446,2000,1146.777
38446,2001,1088.821
38446,2002,1190.0851
38446,2003,1084.093
38446,2004,926.3511
38446,2005,854.916
38446,2006,786.32513
38446,2007,843.86597
38446,2008,819.3461
38446,2009,641.9544
38446,2010,640.2249
38446,2011,687.1969
38446,2012,614.3399
38446,2013,702.5937
38446,2014,675.8564
38446,2015,630.60095
38446,2016,673.6259
38447,1990,1305.8677
38447,1991,1211.5203
38447,1992,1070.0112
38447,1993,1115.5062
38447,1994,1116.2992
38447,1995,1079.6816
38447,1996,1156.9595
38447,1997,1068.7681
38447,1998,1182.8167
38447,1999,770.6834
38447,2000,1325.9039
38447,2001,1275.694
38447,2002,1273.833
38447,2003,1127.0911
38447,2004,895.67926
38447,2005,827.3799
38447,2006,744.2009
38447,2007,805.55896
38447,2008,780.6345
38447,2009,701.3956
38447,2010,560.14154
38447,2011,790.6073
38447,2012,679.56946
38447,2013,797.4504
38447,2014,748.3385
38447,2015,710.7691
38447,2016,768.6583
38448,1990,1257.0107
38448,1991,1160.3016
38448,1992,1014.7054
38448,1993,1076.3875
38448,1994,1093.3583
38448,1995,1023.0053
38448,1996,1089.9442
38448,1997,1028.7744
38448,1998,1145.8077
38448,1999,743.6014
38448,2000,1177.129
38448,2001,1139.497
38448,2002,1134.008
38448,2003,1004.97705
38448,2004,818.9968
38448,2005,770.0744
38448,2006,690.5541
38448,2007,760.2396
38448,2008,729.4174
38448,2009,655.5378
38448,2010,524.1298
38448,2011,765.3087
38448,2012,654.47205
38448,2013,761.4985
38448,2014,721.2441
38448,2015,684.6463
38448,2016,731.2366
38449,1990,1297.4043
38449,1991,1173.6844
38449,1992,1038.4899
38449,1993,1085.1243
38449,1994,1118.0778
38449,1995,1016.2703
38449,1996,1100.1805
38449,1997,1040.5267
38449,1998,1159.054
38449,1999,728.58154
38449,2000,1285.4241
38449,2001,1248.329
38449,2002,1244.693
38449,2003,1092.749
38449,2004,881.1398
38449,2005,789.5454
38449,2006,725.095
38449,2007,796.6611
38449,2008,746.6187
38449,2009,677.5171
38449,2010,538.13245
38449,2011,795.8827
38449,2012,707.96783
38449,2013,767.0226
38449,2014,734.9466
38449,2015,720.5404
38449,2016,754.7274
38450,1990,1570.0867
38450,1991,1369.2424
38450,1992,1231.0428
38450,1993,1230.0205
38450,1994,1307.0764
38450,1995,1176.7439
38450,1996,1332.7227
38450,1997,1218.4457
38450,1998,1243.646
38450,1999,802.75793
38450,2000,1306.2471
38450,2001,1227.917
38450,2002,1317.765
38450,2003,1221.0399
38450,2004,849.548
38450,2005,788.5075
38450,2006,734.588
38450,2007,801.1797
38450,2008,742.1309
38450,2009,682.7845
38450,2010,536.0034
38450,2011,774.911
38450,2012,669.3381
38450,2013,746.4483
38450,2014,698.16864
38450,2015,665.6941
38450,2016,764.227
38452,1990,1553.134
38452,1991,1353.2065
38452,1992,1232.952
38452,1993,1227.659
38452,1994,1301.7068
38452,1995,1177.4344
38452,1996,1325.6921
38452,1997,1208.801
38452,1998,1240.6083
38452,1999,805.2272
38452,2000,1316.803
38452,2001,1249.154
38452,2002,1315.024
38452,2003,1204.125
38452,2004,856.9261
38452,2005,784.7083
38452,2006,727.618
38452,2007,799.2232
38452,2008,734.5668
38452,2009,684.1166
38452,2010,528.725
38452,2011,776.8901
38452,2012,677.0771
38452,2013,750.31726
38452,2014,710.2556
38452,2015,676.17377
38452,2016,772.0755
38453,1990,1276.5933
38453,1991,1106.6437
38453,1992,1043.8522
38453,1993,1062.454
38453,1994,1132.899
38453,1995,967.7675
38453,1996,1071.8176
38453,1997,1053.1836
38453,1998,1122.2357
38453,1999,699.40674
38453,2000,1205.898
38453,2001,1155.2781
38453,2002,1203.7739
38453,2003,1036.672
38453,2004,855.96387
38453,2005,773.2359
38453,2006,727.0594
38453,2007,802.67676
38453,2008,730.32916
38453,2009,655.4705
38453,2010,511.3105
