period,region,variable,n_vals,mean,median,std_dev,iqr,mk_p_val,mk_trend,sen_slp
1990-2020,SoNord,ALK-E_µEq/l,2666,75.07558139534883,52.0,122.11742422128944,101.5,0.0,increasing,0.6666666666666666
1990-2020,SoNord,ALK_mmol/l,1779,0.0341478358628443,0.034,0.016125688467580928,0.016999999999999998,0.0,increasing,0.0006875000000000002
1990-2020,SoNord,ANC_µeq/l,4505,93.7701611832264,67.89239583318768,125.07171785841564,129.6631963705054,0.0,increasing,1.3648212712800087
1990-2020,SoNord,Al_µg/l,930,130.33906970643153,103.54482999999999,102.04317631814952,128.125,0.0003634922816981856,decreasing,-0.3333333333333333
1990-2020,SoNord,CaMg_µeq/l,4507,156.77054737396836,127.10856667710976,139.91122076268692,166.71377787367024,0.0,decreasing,-0.8563820040077795
1990-2020,SoNord,Ca_µeq/l,4504,101.25255507524028,74.8502994011976,105.81740856531052,113.77245508982037,0.0,decreasing,-0.5346449957228404
1990-2020,SoNord,Cl_µeq/l,4494,114.93044686578095,88.9250133980199,98.04491892108521,123.89428609708631,0.0,decreasing,-0.23076923076923078
1990-2020,SoNord,Fe_µg/l,2674,653.6814478129629,268.0,2545.8270483517354,550.0,0.0,increasing,1.40625
1990-2020,SoNord,HCO3_µeq/l,4498,29.888567098659887,0.0,88.38370796557606,27.524780210144705,0.0,increasing,0.0
1990-2020,SoNord,H_µeq/l,4492,4.143621535445624,1.552912144808748,5.841594028074577,5.281568509010995,0.0,decreasing,-0.017770949504717273
1990-2020,SoNord,KOND_mS/m,4496,3.514698287366548,3.07,2.2344711208161168,2.7012500000000004,0.0,decreasing,-0.02499999999999998
1990-2020,SoNord,K_µeq/l,4480,10.660124049132946,9.499101068999028,7.634370647764206,10.650976932126234,0.0,decreasing,-0.03138644384616458
1990-2020,SoNord,LAL_µg/l,355,36.45957746478874,12.0,56.399923178730695,36.05,4.954295459436153e-06,decreasing,0.0
1990-2020,SoNord,Mg_µeq/l,4503,55.58464648435174,48.5357025337282,39.808762026138375,54.29808325106942,0.0,decreasing,-0.2999136229022696
1990-2020,SoNord,NH4-N_µeq/l,3704,1.4581845880900954,1.0357142857142858,1.3935882368553647,1.142857142857143,0.00910021661823146,decreasing,-1.1102230246251566e-17
