period,region,variable,n_vals,mean,median,std_dev,iqr,mk_p_val,mk_trend,sen_slp
1990-2004,SoNord,HCO3_µeq/l,2238,28.7038678095454,0.0,86.93009596161961,24.134389137147473,0.0,increasing,0.0
1990-2004,SoNord,TOC_mg C/l,2236,6.868893112701253,6.425,4.938911129778918,6.450000000000001,0.0,increasing,0.06666666666666672
1990-2004,NoNord,SO4_µeq/l,634,47.2463660213403,42.72258634043156,25.261683380852872,29.147963390157983,0.0,decreasing,-0.9609218700052085
1990-2004,NoNord,NO3-N_µeq/l,637,1.169550347611572,0.7857142857142857,1.1269198882547007,1.3571428571428572,8.661148036526178e-05,decreasing,0.0
1990-2004,NoNord,Cl_µeq/l,630,85.65003375808527,56.41271542605703,83.29651737028136,105.85170507432373,0.000825204622560749,decreasing,0.0
1990-2004,NoNord,Ca_µeq/l,633,75.27074385983168,58.383233532934135,71.90874160299923,63.62275449101798,0.020667317615534753,increasing,0.0
1990-2004,NoNord,Mg_µeq/l,633,43.29131571300321,41.13195129976966,23.73253227845805,31.26028298782494,0.2863782300735427,no trend,0.0
1990-2004,NoNord,CaMg_µeq/l,635,118.3456436205715,98.6925458067084,89.64048252372184,83.64654540868904,0.845683658417361,no trend,0.0
1990-2004,NoNord,H_µeq/l,633,1.004566362765809,0.5495408738576248,1.500155050570038,0.8207632213920858,0.0,decreasing,-0.011216852069299612
1990-2004,NoNord,SAA_µeq/l,635,133.8607409610722,103.36360991872674,92.61708497234648,121.58888374994217,0.0,decreasing,-1.3081137890999177
1990-2004,NoNord,ANC_µeq/l,634,82.72180553914744,38.43581454172149,100.33317373631444,120.6264570899135,0.0,increasing,1.5614214270739204
1990-2004,NoNord,OrgAnions_µeq/l,628,45.742001771743986,27.26451939300378,41.463635159933375,55.51491960138225,2.075251505306852e-06,increasing,0.17311434490093566
1990-2004,NoNord,HCO3_µeq/l,628,40.60927419703394,10.346724337503904,80.19728941932655,41.095778350319094,0.0,increasing,0.39219448440528387
1990-2004,NoNord,TOC_mg C/l,625,3.5757520000000005,2.1,3.2378610571265125,4.11,0.002725031296297864,increasing,0.006000000000000005
1990-2004,WCE,SO4_µeq/l,104,230.73408737406317,191.54375942103815,176.78439259870927,324.7915920617604,1.1922063336555766e-10,decreasing,-2.4983968620135415
