station_id;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
38115;624.4690938;622.7143376;620.9595814;619.2048252;617.450069;618.3193748;619.1886807;620.0579865;620.9272924;621.7965982;610.3161333;598.8356683;587.3552034;575.8747384;564.3942735;543.107288;521.8203025;500.533317;479.2463315;457.959346;451.480011;445.000676;438.521341;432.042006;425.562671;419.083336;412.604001
38116;613.6351849;611.9327599;610.2303349;608.5279098;606.8254848;607.6711297;608.5167746;609.3624195;610.2080643;611.0537092;599.7678597;588.4820103;577.1961608;565.9103114;554.6244619;533.7052196;512.7859773;491.866735;470.9474928;450.0282505;443.67099;437.3137295;430.956469;424.5992085;418.241948;411.8846876;405.5274271
38117;688.8457042;687.1832578;685.5208115;683.8583652;682.1959189;683.0477525;683.8995862;684.7514199;685.6032536;686.4550872;673.7341933;661.0132994;648.2924055;635.5715116;622.8506178;599.3496255;575.8486332;552.3476409;528.8466486;505.3456563;498.3190002;491.2923441;484.2656881;477.239032;470.2123759;463.1857198;456.1590638
38118;681.0836441;679.397593;677.7115419;676.0254907;674.3394396;675.1982697;676.0570997;676.9159298;677.7747598;678.6335899;666.0648562;653.4961225;640.9273888;628.3586551;615.7899214;592.5567694;569.3236175;546.0904656;522.8573137;499.6241618;492.6579895;485.6918172;478.7256449;471.7594726;464.7933002;457.8271279;450.8609556
38119;659.1112012;657.2289726;655.3467439;653.4645152;651.5822865;652.511626;653.4409655;654.370305;655.2996445;656.228984;644.1179214;632.0068589;619.8957963;607.7847338;595.6736712;573.2079545;550.7422377;528.2765209;505.8108042;483.3450874;476.4930115;469.6409356;462.7888597;455.9367837;449.0847078;442.2326319;435.380556
38120;691.6112646;689.9498679;688.2884713;686.6270746;684.9656779;685.8179039;686.6701299;687.522356;688.374582;689.226808;676.4532338;663.6796596;650.9060853;638.1325111;625.3589368;601.7630412;578.1671457;554.5712501;530.9753545;507.3794589;500.3280029;493.2765469;486.2250909;479.1736349;472.1221789;465.0707229;458.0192669
38121;628.3093431;626.4510452;624.5927474;622.7344495;620.8761517;621.7871588;622.6981659;623.6091729;624.52018;625.4311871;613.8994405;602.367694;590.8359474;579.3042008;567.7724543;546.3611915;524.9499287;503.5386658;482.127403;460.7161402;454.1560059;447.5958716;441.0357373;434.4756029;427.9154686;421.3553343;414.7952
38122;628.9074055;627.1588168;625.410228;623.6616393;621.9130506;622.7812289;623.6494072;624.5175856;625.3857639;626.2539423;614.6879995;603.1220567;591.5561139;579.9901712;568.4242284;546.9846168;525.5450053;504.1053937;482.6657822;461.2261706;454.7090149;448.1918592;441.6747034;435.1575477;428.6403919;422.1232362;415.6060805
38085;643.9807949;631.2821709;618.5835469;605.8849229;593.1862989;595.3319284;597.477558;599.6231876;601.7688172;603.9144467;594.6751031;585.4357594;576.1964157;566.957072;557.7177283;527.4453764;497.1730244;466.9006724;436.6283205;406.3559685;415.8150024;425.2740363;434.7330702;444.1921041;453.6511379;463.1101718;472.5692057
38086;664.5632902;651.458801;638.3543118;625.2498226;612.1453335;614.3595402;616.573747;618.7879538;621.0021606;623.2163674;613.6817218;604.1470763;594.6124307;585.0777851;575.5431396;544.3032424;513.0633452;481.823448;450.5835508;419.3436536;429.105011;438.8663684;448.6277257;458.3890831;468.1504405;477.9117979;487.6731552
38087;665.5621972;652.4380106;639.313824;626.1896375;613.0654509;615.2829859;617.5005208;619.7180558;621.9355908;624.1531258;614.6041486;605.0551715;595.5061944;585.9572173;576.4082401;545.1213862;513.8345322;482.5476782;451.2608243;419.9739703;429.75;439.5260297;449.3020594;459.0780891;468.8541188;478.6301485;488.4061782
38088;658.0710324;645.0945637;632.118095;619.1416263;606.1651577;608.3577334;610.5503091;612.7428849;614.9354606;617.1280364;607.6865367;598.2450371;588.8035375;579.3620379;569.9205382;538.9858302;508.0511221;477.116414;446.1817059;415.2469978;424.9129944;434.578991;444.2449877;453.9109843;463.5769809;473.2429776;482.9089742
38089;287.8600175;285.7130575;283.5660976;281.4191377;279.2721777;286.2372426;293.2023074;300.1673723;307.1324372;314.097502;306.7111082;299.3247143;291.9383205;284.5519266;277.1655327;265.6688976;254.1722625;242.6756274;231.1789923;219.6823572;217.3049927;214.9276282;212.5502636;210.1728991;207.7955346;205.4181701;203.0408055
38090;300.5474773;298.3063466;296.065216;293.8240853;291.5829547;298.8291425;306.0753304;313.3215183;320.5677062;327.8138941;320.1119399;312.4099857;304.7080315;297.0060772;289.304123;277.3083077;265.3124925;253.3166772;241.3208619;229.3250467;226.8379974;224.3509481;221.8638989;219.3768496;216.8898004;214.4027511;211.9157019
38091;360.844116;358.1546485;355.4651811;352.7757136;350.0862462;358.7134342;367.3406223;375.9678104;384.5949984;393.2221865;384.0031624;374.7841383;365.5651142;356.3460901;347.127066;332.7458138;318.3645617;303.9833095;289.6020574;275.2208052;272.2210083;269.2212114;266.2214145;263.2216176;260.2218207;257.2220238;254.2222269
38092;310.1434928;307.830996;305.5184993;303.2060026;300.8935059;308.3603077;315.8271094;323.2939112;330.760713;338.2275147;330.2838021;322.3400895;314.3963769;306.4526643;298.5089517;286.1332594;273.7575671;261.3818748;249.0061825;236.6304902;234.0619965;231.4935028;228.9250092;226.3565155;223.7880218;221.2195282;218.6510345
38093;195.4499402;193.9913061;192.5326721;191.0740381;189.615404;194.3955041;199.1756041;203.9557042;208.7358042;213.5159042;208.4810155;203.4461267;198.4112379;193.3763491;188.3414603;180.5206689;172.6998775;164.8790861;157.0582947;149.2375033;147.6329956;146.0284879;144.4239803;142.8194726;141.2149649;139.6104573;138.0059496
38095;346.8940494;335.3242442;323.754439;312.1846338;300.6148286;308.1097339;315.6046391;323.0995444;330.5944496;338.0893549;333.4687094;328.848064;324.2274185;319.606773;314.9861275;300.3965304;285.8069333;271.2173361;256.627739;242.0381419;236.451004;230.8638661;225.2767282;219.6895903;214.1024524;208.5153145;202.9281767
38096;372.414001;359.9930401;347.5720791;335.1511181;322.7301572;330.77644;338.8227229;346.8690058;354.9152887;362.9615716;358.0009991;353.0404267;348.0798542;343.1192818;338.1587093;322.4957994;306.8328895;291.1699796;275.5070697;259.8441598;253.845993;247.8478262;241.8496594;235.8514926;229.8533257;223.8551589;217.8569921
38097;349.83261;338.1647962;326.4969825;314.8291688;303.1613551;310.7197501;318.2781452;325.8365402;333.3949353;340.9533303;336.2935431;331.6337559;326.9739686;322.3141814;317.6543941;302.9412076;288.2280211;273.5148347;258.8016482;244.0884617;238.4539948;232.8195279;227.1850611;221.5505942;215.9161273;210.2816604;204.6471936
38098;357.0110714;345.1038376;333.1966038;321.28937;309.3821362;317.0956273;324.8091184;332.5226095;340.2361005;347.9495916;343.1941869;338.4387822;333.6833775;328.9279728;324.1725681;309.1574714;294.1423747;279.127278;264.1121813;249.0970846;243.3470001;237.5969156;231.8468312;226.0967467;220.3466622;214.5965778;208.8464933
38099;297.3307112;302.264361;307.1980108;312.1316606;317.0653104;328.0289766;338.9926427;349.9563089;360.9199751;371.8836413;369.5147063;367.1457713;364.7768362;362.4079012;360.0389662;350.9743636;341.9097611;332.8451585;323.7805559;314.7159533;316.197998;317.6800427;319.1620873;320.644132;322.1261767;323.6082213;325.090266
38100;292.1720637;297.0201153;301.868167;306.7162186;311.5642702;322.3377183;333.1111663;343.8846144;354.6580625;365.4315105;363.1036762;360.7758419;358.4480076;356.1201733;353.792339;344.885006;335.9776731;327.0703401;318.1630072;309.2556742;310.7120056;312.168337;313.6246684;315.0809998;316.5373312;317.9936626;319.449994
38101;293.7960054;298.6710033;303.5460012;308.4209991;313.2959971;324.1293258;334.9626545;345.7959832;356.6293119;367.4626406;365.1218678;362.7810949;360.4403221;358.0995493;355.7587765;346.8019351;337.8450937;328.8882523;319.9314109;310.9745695;312.4389954;313.9034213;315.3678473;316.8322732;318.2966991;319.761125;321.225551
38102;292.1532388;297.000978;301.8487173;306.6964565;311.5441958;322.3169497;333.0897036;343.8624576;354.6352115;365.4079654;363.0802811;360.7525967;358.4249124;356.0972281;353.7695437;344.8627847;335.9560257;327.0492666;318.1425076;309.2357485;310.6919861;312.1482237;313.6044612;315.0606988;316.5169363;317.9731739;319.4294115
