station_id,year,variable,value
38115,1992,pre,1216.0
38115,1993,pre,1090.3
38115,1994,pre,1109.6
38115,1995,pre,1168.3
38115,1996,pre,1218.2
38115,1997,pre,1062.7001
38115,1998,pre,1089.7001
38115,1999,pre,1187.3
38115,2000,pre,1154.7
38115,2001,pre,1094.1001
38115,2002,pre,1180.9
38115,2003,pre,1192.3
38115,2004,pre,1195.9
38115,2005,pre,1084.5
38115,2006,pre,1371.2999
38115,2007,pre,1168.8
38115,2008,pre,1380.1998
38115,2009,pre,1190.9
38115,2010,pre,1141.4
38115,2011,pre,1294.2001
38115,2012,pre,1161.6
38115,2013,pre,1269.2001
38115,2014,pre,1133.7001
38115,2015,pre,1128.7001
38115,2016,pre,1103.5001
38116,1992,pre,1216.0
38116,1993,pre,1090.3
38116,1994,pre,1109.6
38116,1995,pre,1168.3
38116,1996,pre,1218.2
38116,1997,pre,1062.7001
38116,1998,pre,1089.7001
38116,1999,pre,1187.3
38116,2000,pre,1154.7
38116,2001,pre,1094.1001
38116,2002,pre,1180.9
38116,2003,pre,1192.3
38116,2004,pre,1195.9
38116,2005,pre,1084.5
38116,2006,pre,1371.2999
38116,2007,pre,1168.8
38116,2008,pre,1380.1998
38116,2009,pre,1190.9
38116,2010,pre,1141.4
38116,2011,pre,1294.2001
38116,2012,pre,1161.6
38116,2013,pre,1269.2001
38116,2014,pre,1133.7001
38116,2015,pre,1128.7001
38116,2016,pre,1103.5001
38117,1992,pre,1070.5001
38117,1993,pre,963.30005
38117,1994,pre,1005.99994
38117,1995,pre,1080.1001
38117,1996,pre,1156.6
38117,1997,pre,988.4
38117,1998,pre,1009.49994
38117,1999,pre,1092.2
38117,2000,pre,1045.6
38117,2001,pre,1016.10004
38117,2002,pre,1082.7999
38117,2003,pre,1086.0
38117,2004,pre,1095.4
38117,2005,pre,1018.8
38117,2006,pre,1293.3
38117,2007,pre,1087.0
38117,2008,pre,1275.1
38117,2009,pre,1086.5001
38117,2010,pre,1002.5
38117,2011,pre,1160.2
38117,2012,pre,1055.1
38117,2013,pre,1153.1
