period,station_id,variable,n_vals,first,last,mean,median,std_dev,iqr,mk_p_val,mk_trend,sen_slp,sen_incpt,sen_trend
1990-2020,102,OrgAnions_µeq/l,31,26.92480938221932,60.85503789507593,44.83969054283778,45.7197615941987,10.89750867377834,15.606690612102824,2.5708679629588005e-10,increasing,1.0827497384462268,-2125.193463990486,increasing
1990-2020,102,HCO3_µeq/l,31,0.0,0.0,0.7354062928045468,0.0,2.626352749444758,0.0,0.07180800595869341,no trend,0.0,0.0,no trend
1990-2020,103,SO4_µeq/l,31,97.85387709553036,27.690565220650083,55.02181798937078,44.86704364699318,25.53117774403382,33.20785829092999,6.642708605397729e-11,decreasing,-2.342247058137695,4741.072395213071,decreasing
1990-2020,103,NO3-N_µeq/l,31,8.357142857142858,2.2142857142857144,5.33179723502304,5.142857142857143,2.2319989200903785,3.2142857142857144,4.467047919409772e-05,decreasing,-0.1768707482993197,359.7687074829932,decreasing
1990-2020,103,Cl_µeq/l,31,149.49369587905113,129.4671819028009,109.49981028949735,103.23526922968436,24.27817008771387,33.28350210137364,0.10619912125427078,no trend,-0.9402119237676155,1988.3601763837535,no trend
1990-2020,103,Ca_µeq/l,31,51.39720558882236,31.437125748503,38.716116154787194,36.92614770459082,8.887520592458062,8.483033932135733,9.026367731035378e-06,decreasing,-0.6772169945822643,1394.7462218420308,decreasing
1990-2020,103,Mg_µeq/l,30,44.42250740375123,33.72820006581112,33.273006471427,32.49424152681803,5.716815024953953,5.3471536689700585,0.0007718766795388188,decreasing,-0.41131951299769653,857.3955248436985,decreasing
1990-2020,103,CaMg_µeq/l,31,95.8197129925736,65.16532581431412,72.9060555448667,68.51006772240316,16.017878401977434,14.929420527158925,1.9837055123650416e-05,decreasing,-1.1587804723152983,2391.8649147145766,decreasing
1990-2020,103,H_µeq/l,31,21.379620895022324,9.549925860214367,11.29331153921742,10.0,5.020284992211735,4.508543452803213,0.0014680076751993898,decreasing,-0.2737208753153831,558.8103550073431,decreasing
1990-2020,103,SAA_µeq/l,31,255.7047158317244,159.3720328377367,169.85342551389115,158.5343847482382,45.2858508727173,40.498478055700076,1.843097094700319e-05,decreasing,-3.4375082276184625,7050.738381123256,decreasing
1990-2020,103,ANC_µeq/l,31,-29.54966694228433,15.103797110017478,16.542608655018803,18.18940821184572,21.192084348524915,22.763910311252854,4.0854560912073623e-07,increasing,1.982123111040847,-3955.9674294250526,increasing
1990-2020,103,OrgAnions_µeq/l,31,40.15470802167028,86.37971066360807,75.17717098588419,74.62061034097755,20.23506121287124,25.484303794282248,2.146270321023991e-05,increasing,1.7144006674415775,-3362.752727879385,increasing
1990-2020,103,HCO3_µeq/l,31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,no trend,0.0,0.0,no trend
1990-2020,104,SO4_µeq/l,31,143.65781956577862,42.88914613123246,86.41296565886351,77.86670219942204,36.67305427159421,65.58291762785547,4.951594689828198e-13,decreasing,-3.7475952930203134,7591.795264705151,decreasing
1990-2020,104,NO3-N_µeq/l,31,9.928571428571429,3.571428571428572,5.074884792626729,4.857142857142857,2.03365298393653,3.249999999999999,0.0018601786872198822,decreasing,-0.13571428571428576,276.9642857142858,decreasing
1990-2020,104,Cl_µeq/l,31,180.5206893633825,179.95656220912193,171.4992043077477,174.87941782077678,20.03817992833818,21.57786365046681,0.1848053636128817,no trend,-0.5518635204722967,1281.3657763677318,no trend
1990-2020,104,Ca_µeq/l,31,71.8562874251497,52.89421157684631,57.94539952353359,55.88822355289422,12.255782335702882,15.593812375249506,2.4765737958176715e-06,decreasing,-1.053448658239077,2168.052783322243,decreasing
1990-2020,104,Mg_µeq/l,31,64.98848305363606,49.35834155972359,50.78336464668982,48.5357025337282,7.481384841242328,11.928265876933203,3.5355367522527104e-05,decreasing,-0.6730682939962307,1398.0376319961708,decreasing
1990-2020,104,CaMg_µeq/l,31,136.84477047878576,102.2525531365699,108.79793449435238,104.42392608662242,19.16144577492994,26.00561463450198,3.781833670668533e-06,decreasing,-1.7099250866998785,3532.8237249198787,decreasing
1990-2020,104,H_µeq/l,31,7.244359600749906,1.9498445997580451,3.814627059255407,3.388441561392028,1.7781572344532404,2.19809361192235,0.0042500667919112,decreasing,-0.09671278765907522,197.29758081783785,decreasing
1990-2020,104,SAA_µeq/l,31,334.10708035773257,226.41713691178296,263.05137456647077,244.0775944452376,49.522390937056656,73.94357414669653,1.1680885727560764e-06,decreasing,-4.343925638049538,8953.648498734561,decreasing
1990-2020,104,ANC_µeq/l,31,-23.48186201645824,62.72882852674845,29.84754667598408,31.475992417509275,29.85844068174901,40.22314756406563,6.144577069377988e-09,increasing,2.9888018681722768,-5961.0717532679055,increasing
1990-2020,104,OrgAnions_µeq/l,31,15.779478314258856,96.13857775095263,62.156200573012136,64.9466345210197,26.278426502677807,39.06196716507719,6.80353329229888e-10,increasing,2.641756662583467,-5231.775473958833,increasing
1990-2020,104,HCO3_µeq/l,31,0.0,0.0,0.2736000172629076,0.0,1.5233404257860959,0.0,0.16225049984723183,no trend,0.0,0.0,no trend
1990-2020,105,SO4_µeq/l,31,102.01787186555292,34.35295685268619,57.57058575586042,51.00893593277647,28.101456939120833,48.82283867851463,1.3057332992616466e-10,decreasing,-2.775996513348378,5616.8819451962745,decreasing
1990-2020,105,NO3-N_µeq/l,30,3.071428571428572,4.357142857142857,4.7404761904761905,4.5,1.2157312944653855,0.9107142857142856,0.0001630759856316999,decreasing,-0.09022556390977444,185.35714285714286,decreasing
1990-2020,105,Cl_µeq/l,31,101.54288776690264,93.0809804529941,77.14893775766734,76.15716582517699,12.522875496384028,12.833892759427982,0.34954161626360203,no trend,-0.2654716020049748,608.4277278451515,no trend
1990-2020,105,Ca_µeq/l,31,81.83632734530939,61.876247504990026,66.13386130963879,62.37524950099801,13.495357374597653,15.968063872255499,6.382533413273883e-05,decreasing,-0.8871146595697483,1841.0401419383434,decreasing
1990-2020,105,Mg_µeq/l,31,62.52056597564988,38.66403422178348,40.15805283996221,37.84139519578809,8.945030850475643,10.365251727541953,0.0007836765640154564,decreasing,-0.5484260173302616,1137.4355599429625,decreasing
1990-2020,105,CaMg_µeq/l,31,144.35689332095927,100.54028172677351,106.29191414960097,100.54028172677351,22.13050458735253,26.898325757172728,9.911763169423438e-05,decreasing,-1.4684900244481978,3044.86278074541,decreasing
1990-2020,105,H_µeq/l,30,4.4668359215096345,4.168693834703355,2.954895164562155,2.8512072171955305,1.167871076943413,1.1310483817134775,0.002021946020698495,decreasing,-0.08136427790478365,166.02726655523915,decreasing
1990-2020,105,SAA_µeq/l,31,206.63218820388417,131.79108016282314,139.36007650891946,122.4793574539115,36.002054411825924,51.192354173809576,2.301109211844121e-06,decreasing,-3.454846823407555,7049.447238386059,decreasing
1990-2020,105,ANC_µeq/l,30,42.63218898983466,68.48168897009892,55.18630388613771,58.60303945348957,18.551200742320813,30.11304980011328,2.1179019205064264e-08,increasing,1.977698120304943,-3905.692842697769,increasing
1990-2020,105,OrgAnions_µeq/l,30,52.180296616048494,121.66314970527397,97.55184011336118,98.72023852331802,19.461560467170266,22.588709630151868,4.861110847187433e-09,increasing,1.7224571242065778,-3355.6675240729737,increasing
1990-2020,105,HCO3_µeq/l,30,0.0,0.0,1.952142358553561,0.0,10.692324052411236,0.0,0.16562141245911555,no trend,0.0,0.0,no trend
1990-2020,107,SO4_µeq/l,31,54.1319320102934,12.908383787069964,26.931643593210488,21.236373327115103,15.709131171203902,21.444573065616233,6.642708605397729e-11,decreasing,-1.3706482784657623,2769.386171650968,decreasing
1990-2020,107,NO3-N_µeq/l,31,2.9285714285714284,1.0714285714285714,1.7142857142857137,1.7142857142857142,0.941169123870886,1.2142857142857144,2.0804503464422197e-05,decreasing,-0.07518796992481203,152.46616541353384,decreasing
1990-2020,107,Cl_µeq/l,31,31.026993484331367,17.770005359207964,21.93726724068121,20.59064113051081,6.381314540341125,7.968296053930558,0.002198562188941766,decreasing,-0.38280056896253,788.1057819003835,decreasing
1990-2020,107,Ca_µeq/l,31,44.91017964071857,34.930139720558884,40.6364689974889,40.41916167664671,6.925092438547801,7.485029940119766,1.1327177435349611e-05,decreasing,-0.4527981074887261,948.2793671915425,decreasing
1990-2020,107,Mg_µeq/l,31,19.74333662388944,13.16222441592629,14.085703064463054,13.16222441592629,2.561540798025588,2.6735768344850275,0.0008969192432175532,decreasing,-0.17627979128472734,366.6032059418046,decreasing
1990-2020,107,CaMg_µeq/l,31,64.653516264608,48.09236413648517,54.72217206195192,53.581386092573,9.056430203807599,10.539631497124219,2.9007853530993444e-05,decreasing,-0.645850998452803,1348.512637990443,decreasing
