station_id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
38442,1047.1395,865.7766,771.9464,921.1831,983.30536,863.5754,841.34094,838.1008,928.3641,692.18677,912.3169,864.12933,988.6829,826.81067,712.66187,640.9427,604.19324,710.11774,652.5207,514.9753,476.191,664.1831,580.5075,636.4053,635.4914,626.3692,650.3938
38443,1020.56665,827.7812,723.527,894.75995,903.2842,821.60767,829.2497,819.6436,964.77496,668.37366,910.8875,856.8773,986.0029,813.8323,709.0894,636.5326,602.052,710.1099,644.18494,505.8227,474.66577,662.4759,580.3082,626.4585,645.1914,625.1518,664.2513
38444,1020.56665,827.7812,723.527,894.75995,903.2842,821.60767,829.2497,819.6436,964.77496,668.37366,910.8875,856.8773,986.0029,813.8323,709.0894,636.5326,602.052,710.1099,644.18494,505.8227,474.66577,662.4759,580.3082,626.4585,645.1914,625.1518,664.2513
38445,1009.33887,859.0717,680.26624,863.33496,880.38025,755.11273,870.7447,814.04095,971.19855,616.27576,1433.707,1404.7631,1318.118,1054.856,979.0282,819.1004,754.3346,866.7804,815.93005,667.8854,582.3593,818.08826,729.9122,752.0567,719.0938,719.3437,686.6469
38446,1049.6517,842.4384,772.13556,963.4225,847.5955,887.3727,884.8179,839.6115,944.1686,708.91486,1146.777,1088.821,1190.0851,1084.093,926.3511,854.916,786.32513,843.86597,819.3461,641.9544,640.2249,687.1969,614.3399,702.5937,675.8564,630.60095,673.6259
38447,1305.8677,1211.5203,1070.0112,1115.5062,1116.2992,1079.6816,1156.9595,1068.7681,1182.8167,770.6834,1325.9039,1275.694,1273.833,1127.0911,895.67926,827.3799,744.2009,805.55896,780.6345,701.3956,560.14154,790.6073,679.56946,797.4504,748.3385,710.7691,768.6583
38448,1257.0107,1160.3016,1014.7054,1076.3875,1093.3583,1023.0053,1089.9442,1028.7744,1145.8077,743.6014,1177.129,1139.497,1134.008,1004.97705,818.9968,770.0744,690.5541,760.2396,729.4174,655.5378,524.1298,765.3087,654.47205,761.4985,721.2441,684.6463,731.2366
38449,1297.4043,1173.6844,1038.4899,1085.1243,1118.0778,1016.2703,1100.1805,1040.5267,1159.054,728.58154,1285.4241,1248.329,1244.693,1092.749,881.1398,789.5454,725.095,796.6611,746.6187,677.5171,538.13245,795.8827,707.96783,767.0226,734.9466,720.5404,754.7274
38450,1570.0867,1369.2424,1231.0428,1230.0205,1307.0764,1176.7439,1332.7227,1218.4457,1243.646,802.75793,1306.2471,1227.917,1317.765,1221.0399,849.548,788.5075,734.588,801.1797,742.1309,682.7845,536.0034,774.911,669.3381,746.4483,698.16864,665.6941,764.227
38451,1538.78,1340.2937,1221.663,1219.3864,1294.363,1167.5558,1313.6019,1197.0983,1231.4993,802.5326,1316.803,1249.154,1315.024,1204.125,856.9261,784.7083,727.618,799.2232,734.5668,684.1166,528.725,776.8901,677.0771,750.31726,710.2556,676.17377,772.0755
