station_id,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
38461,1388.2439,1118.3821,1032.0654,1201.8547,1283.1034,1059.4314,1188.1398,1062.2389,1041.009,,,,,,,,,,,,,,,,,,
38462,,,,,,,,,,,,,,,,,,,,,,,,,,,
38463,1365.118,987.185,822.44214,1005.43994,1118.1677,957.3228,1017.9323,859.7475,976.5245,,,,,,,,,,,,,,,,,,
38464,1212.2803,952.38464,856.39325,1024.6312,1156.2886,967.6179,968.1467,949.36145,968.7294,,,,,,,,,,,,,,,,,,
38465,,,,,,,,,,,,,,,,,,,,,,,,,,,
38466,,,,,,,,,,,1362.498,1199.566,1290.936,1155.4249,968.71265,906.2083,869.6916,904.29785,848.1405,761.4261,614.7642,857.5887,713.9369,803.7133,716.3217,686.2792,743.2987
38467,,,,,,,,,,,,,,,,,,,,,,,,,,,
38468,,,,,,,,,,,,,,,,,,,,,,,,,,,
38469,,,,,,,,,,,,,,,,,,,,,,,,,,,
38470,,,,,,,,,,,,,,,,,,,,,,,,,,,
38471,,,,,,,,,,,1113.887,1036.209,1080.76,973.27,776.441,715.5407,671.1751,753.6897,676.5293,609.81213,473.329,751.2671,692.92065,727.4227,697.979,640.41235,673.96313
38472,1048.9548,863.7134,767.70856,922.8382,967.2306,860.58215,848.2703,845.18463,945.12213,,,,,,,,,,,,,,,,,,
38473,,,,,,,,,,,,,,,,,,,,,,,,,,,
38474,,,,,,,,,,,,,,,,,,,,,,,,,,,
38475,1013.95166,828.7015,721.56995,890.01733,868.8587,808.2652,811.58044,805.27985,950.3596,,,,,,,,,,,,,,,,,,
38476,,,,,,,,,,,,,,,,,,,,,,,,,,,
38477,1248.0093,1089.5021,1021.0496,1044.2446,1110.896,933.7023,1039.6415,1027.7734,1114.7354,,,,,,,,,,,,,,,,,,
38478,,,,,,,,,,,,,,,,,,,,,,,,,,,
38479,,,,,,,,,,,,,,,,,,,,,,,,,,,
38480,1254.417,1096.2788,1028.668,1047.866,1114.261,938.2492,1045.0001,1033.4875,1119.5516,,,,,,,,,,,,,,,,,,
38481,,,,,,,,,,,,,,,,,,,,,,,,,,,
38482,1064.42,878.2988,788.16144,938.1563,1014.2066,884.365,859.197,854.25366,931.4189,,,,,,,,,,,,,,,,,,
38483,,,,,,,,,,,,,,,,,,,,,,,,,,,
38484,,,,,,,,,,,1208.8049,1141.747,1187.603,1054.525,834.0698,758.0711,718.2544,793.2922,711.94403,642.21265,501.2557,790.47144,720.4814,752.3134,719.84326,656.457,723.8726
38485,1335.3313,1190.368,1096.1216,1102.0511,1177.8918,1007.301,1102.1997,1069.1063,1124.5669,,,,,,,,,,,,,,,,,,
38486,,,,,,,,,,,,,,,,,,,,,,,,,,,
38487,1254.417,1096.2788,1028.668,1047.866,1114.261,938.2492,1045.0001,1033.4875,1119.5516,,,,,,,,,,,,,,,,,,
38488,915.796,782.4205,571.4608,772.9465,802.6048,680.6234,763.9083,765.6765,1014.8068,,,,,,,,,,,,,,,,,,
38489,1614.4888,1281.596,1307.5807,1354.3756,1409.3953,1253.9165,1402.4568,1298.2886,1153.3997,,,,,,,,,,,,,,,,,,
38490,,,,,,,,,,,1125.611,999.1116,1004.375,884.9713,760.9441,741.05994,667.8079,751.1312,724.5918,596.7712,515.6945,747.7276,607.54663,610.5802,621.0164,598.2752,564.8627
38491,,,,,,,,,,,,,,,,,,,,,,,,,,,
38492,,,,,,,,,,,,,,,,,,,,,,,,,,,
38493,,,,,,,,,,,,,,,,,,,,,,,,,,,
38494,,,,,,,,,,,,,,,,,,,,,,,,,,,
38495,,,,,,,,,,,,,,,,,,,,,,,,,,,
38496,,,,,,,,,,,,,,,,,,,,,,,,,,,
38497,1276.0442,1209.8207,1143.62,1045.6953,1230.2842,1195.2229,1287.8763,1122.2183,1085.9072,,,,,,,,,,,,,,,,,,
38498,,,,,,,,,,,,,,,,,,,,,,,,,,,
38499,,,,,,,,,,,,,,,,,,,,,,,,,,,
38500,,,,,,,,,,,,,,,,,,,,,,,,,,,
38501,1645.321,1715.2513,1488.5885,1410.9897,1634.65,1638.016,1652.0874,1432.1859,1333.9607,,,,,,,,,,,,,,,,,,
38502,843.6204,559.7295,587.99347,599.798,567.5134,599.8939,670.06726,671.15784,606.4607,,,,,,,,,,,,,,,,,,
38503,926.41095,549.94104,703.848,641.2048,616.6498,642.5143,694.18414,725.3317,657.02203,,,,,,,,,,,,,,,,,,
38504,941.7512,560.2333,722.99835,656.25323,632.62274,657.5823,708.51733,732.9175,661.1231,,,,,,,,,,,,,,,,,,
38505,941.7512,560.2333,722.99835,656.25323,632.62274,657.5823,708.51733,732.9175,661.1231,,,,,,,,,,,,,,,,,,
38506,,,,,,,,,,,693.5802,618.58057,691.0183,597.52734,572.9339,552.3886,569.201,538.1898,568.5392,442.665,432.12042,450.99283,425.7639,395.2021,400.215,384.454,360.8635
38507,,,,,,,,,,,693.5802,618.58057,691.0183,597.52734,572.9339,552.3886,569.201,538.1898,568.5392,442.665,432.12042,450.99283,425.7639,395.2021,400.215,384.454,360.8635
38508,,,,,,,,,,,498.95993,451.5013,590.60944,544.7628,461.27008,496.7203,498.8915,489.19083,435.66928,333.8774,326.84988,458.3611,436.1297,371.3355,388.50638,353.3938,354.69388
38509,1035.4875,629.78687,714.3672,714.59393,695.0164,696.7265,836.0589,827.10675,745.75024,,,,,,,,,,,,,,,,,,
38510,856.58826,590.67096,554.68933,671.9732,729.57446,568.5756,626.84705,581.34125,541.33575,,,,,,,,,,,,,,,,,,
38511,,,,,,,,,,,,,,,,,,,,,,,,,,,
38512,,,,,,,,,,,,,,,,,,,,,,,,,,,
38513,,,,,,,,,,,,,,,,,,,,,,,,,,,
38514,730.10785,433.8181,561.36755,507.7451,485.95618,506.86465,544.1151,567.94965,505.6906,,,,,,,,,,,,,,,,,,
38515,845.0653,544.19147,536.39185,576.6099,554.40137,553.76184,683.3188,655.2299,604.72705,,,,,,,,,,,,,,,,,,
