SiteID,Lat,Lon,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
38213,63.6565,29.9466,456.94,440.26,423.34,406.19,388.81,371.19,368.15,365.05,361.88,358.66,355.37,302.11,264.56,318.23,331.87,292.55,315.69,346.05,331.29,379.31,412.21,421.12,430.03,405.46,443.79,482.13,451.95,457.90
38229,63.7268,28.2352,134.89,129.39,123.90,118.44,113.00,107.59,106.28,104.97,103.67,102.37,101.08,81.64,80.50,87.63,82.51,96.42,83.12,86.53,83.37,74.29,131.52,83.32,98.75,71.25,95.32,92.60,83.53,79.00
38226,62.1662,22.0038,240.82,232.00,223.18,214.36,205.54,196.73,195.23,193.73,192.23,190.74,189.24,141.46,114.36,144.47,122.44,154.79,126.33,118.95,138.32,128.65,149.35,161.67,137.44,125.24,144.60,128.05,120.97,111.39
38391,61.6428,16.5753,187.80,181.75,175.66,169.55,163.41,157.24,155.42,153.58,151.74,149.89,148.03,107.55,121.46,101.75,101.47,109.58,122.07,84.77,105.21,124.27,140.35,127.28,98.58,77.79,117.21,104.15,118.72,96.88
38348,59.8056,17.9040,332.60,324.06,315.50,306.92,298.32,289.70,287.70,285.70,283.69,281.68,279.66,217.87,189.13,215.83,192.94,200.02,210.18,181.35,209.31,211.06,217.56,238.05,241.91,188.25,224.61,220.85,200.12,181.38
38291,63.8996,10.1543,91.11,90.02,88.94,87.86,86.78,85.70,84.84,83.98,83.13,82.27,81.42,96.33,129.81,181.40,93.93,124.02,134.86,111.86,91.99,109.42,89.62,145.35,111.08,96.05,93.72,113.49,92.54,94.52
38220,60.3014,24.6160,700.02,668.11,635.88,603.33,570.46,537.27,530.42,523.49,516.47,509.37,502.19,469.83,396.44,430.25,465.81,442.58,473.94,483.02,522.66,438.23,486.94,476.90,477.40,462.18,478.20,489.80,408.33,444.53
38216,60.3444,24.5990,596.90,569.84,542.56,515.04,487.30,459.33,453.56,447.73,441.84,435.90,429.90,402.45,339.48,369.48,393.90,378.71,400.63,415.22,451.59,372.97,423.42,406.01,412.01,400.56,410.22,422.48,347.92,385.01
38225,62.0178,23.9304,215.38,206.44,197.49,188.52,179.54,170.55,168.25,165.94,163.63,161.31,158.99,151.98,131.53,130.45,115.95,131.31,129.95,122.47,139.80,132.84,168.11,151.58,164.86,127.56,134.65,127.02,125.69,118.22
38223,61.7991,24.2811,238.87,228.93,218.97,208.99,198.99,188.96,186.43,183.90,181.36,178.81,176.26,154.34,140.59,141.45,136.84,145.29,150.36,141.95,161.24,148.71,180.48,177.73,172.53,143.94,146.30,137.37,143.51,132.11
